week,day,mold_code,plan_qty
1,1,8412,54
1,1,8573,35
1,1,8600,17
1,2,8412,54
1,2,8573,35
1,2,8600,17
1,3,8412,54
1,3,8573,35
1,3,8600,17
1,4,8412,54
1,4,8573,35
1,4,8600,17
1,5,8412,54
1,5,8573,35
1,5,8600,17
1,6,8412,54
1,6,8573,35
1,6,8600,17
1,7,8412,54
1,7,8573,35
1,7,8600,17
2,1,8722,35
2,1,8917,0
2,2,8722,35
2,2,8917,0
2,3,8722,35
2,3,8917,0
2,4,8722,35
2,4,8917,0
2,5,8722,35
2,5,8917,0
2,6,8722,35
2,6,8917,0
2,7,8722,35
2,7,8917,0
3,1,8412,54
3,1,8573,35
3,1,8600,17
3,2,8412,54
3,2,8573,35
3,2,8600,17
3,3,8412,54
3,3,8573,35
3,3,8600,17
3,4,8412,54
3,4,8573,35
3,4,8600,17
3,5,8412,54
3,5,8573,35
3,5,8600,17
3,6,8412,54
3,6,8573,35
3,6,8600,17
3,7,8412,54
3,7,8573,35
3,7,8600,17
4,1,8722,35
4,1,8917,0
4,2,8722,35
4,2,8917,0
4,3,8722,35
4,3,8917,0
4,4,8722,35
4,4,8917,0
4,5,8722,35
4,5,8917,0
4,6,8722,35
4,6,8917,0
4,7,8722,35
4,7,8917,0
